parameter_id,definition,value_or_rule,unit,origin_type,source_or_method,rationale_and_evidence_boundary,sensitivity_status,affected_result
P16,Clustered intervals,2000 demand-country cluster draws; paired percentile 2.5/97.5; all rows of sampled country retained,replicates; percentiles,Statistical procedure / numerical count,Main statistical Methods,Measures sample-composition variation; not total model uncertainty,Current SD2: nine of twelve paired window intervals exclude zero; pooled paired interval excludes zero.,Fig. 1 and Extended Data
P17,Conditional trade perturbations,500 corridor-level conditional draws; separate 40 raw-report draws and 10 full allocation draws,log-value perturbations; draw counts,Author-defined error model / numerical settings,SI conditional uncertainty; DS01,500 corridor draws use record-derived scales; raw-report and allocation draws use log SD 0.1 and stage-weight deviations ±0.2. Distributions are uncalibrated assumptions.,SD9 records distinct ensembles; no pooling or independent-replicate claim.,Historical and allocation conditional sensitivity; SD9
P19,Unmatched routes,Total trade remains denominator. Bound unmatched route exposure between no added chokepoint and assignment to a maximal chokepoint.,fraction,Author-defined missing-data scenario,Archived route coverage and template,C* denominator remains total direct trade,"SD9: saved-allocation bounds conditional on reference origin fingerprints, not adversarial reoptimisation or unrestricted provenance.",SD9 saved-allocation route bounds
P20,Supplier candidates and ceilings,"Baseline suppliers plus top 60 by six-year peak, with positive current exports; ceiling 1.10*six-year peak; outside commitments and unsupported shares fixed",count; years; USD,Author-defined allocation scenario,DS04 trade history,"Historical export envelope, not plant or engineering capacity",Earlier-specification checks are not current validation unless explicitly linked to SD6–SD9.,Fig. 5
P21,Allocation objectives,Matched direct-only: sum omega*wD*D/D0; integrated uses identical D coefficients plus baseline-normalized O and C*; wD=1/3 with candidate chokepoints and 1/2 without. Raw sum omega*D retained as control.,weighted index,Author-defined normative objective,SI Eqs. 30–31,Matched control isolates adding O and C* terms within the stated model; neither solution establishes real-world capacity.,"583 groups across 2012–2024; SD6 origin-term ablation changes only origin weight to zero, retaining direct and route coefficients without renormalisation.",Fig. 5 interpretation
P22,Route normalisation floor,epsilon_C=0.025; applies for every C0*<0.025 with candidate chokepoint exposure,share,Numerical stabilisation / author choice,SI Eq. 31,Distinct role from tau despite equal numeric value; not restricted to C0*=0,Earlier-specification checks are not current validation unless explicitly linked to SD6–SD9.,Fig. 5
P23,Post-allocation evidence,Origin fingerprints and evidence held fixed; delta U=0,index,Author-defined conditional comparison,SI allocation Methods,Does not imply realised reallocation preserves evidence quality,Earlier-specification checks are not current validation unless explicitly linked to SD6–SD9.,Fig. 5
P24,Solver and acceptance,Clarabel 0.11.1; max_iter=500; gap and feasibility tolerances 1e-11 for reference/ablation and 1e-13 for conditional allocation draws; scaled then unscaled retry; original KKT and primal acceptance gates unchanged; fallback retained.,numerical tolerances,Computational settings,SI numerical acceptance checks,"Precision and feasibility tests, not evidence for physical capacity","Independent numerical checks and paired original/rebuilt-input precision checks in SD5, SD6 and SD9/precision_audit. Original lower-precision failures retained.",Fig. 5
P25,Auxiliary outcomes,Any joint improvement: all changes < -1e-6; reallocation share=0.5*L1 allocation distance,index points; fraction,Author-defined descriptive metrics,SI Eq. 33 and allocation text,Numerical-zero filter is not tau,Earlier-specification checks are not current validation unless explicitly linked to SD6–SD9.,SI and Fig. 5
P26,Production audit gates,median TVD<=0.10; P90<=0.20; mineral median<=0.25; top producer agreement>=0.90; P90 abs HHI gap<=0.05; listed coverage>=0.90,fractions/index,Author-defined acceptance criteria,DS09–DS10; historical audit manifest,Not universal scientific accuracy standards,Earlier-specification checks are not current validation unless explicitly linked to SD6–SD9.,Early production history
P27,Display selections,"Fig3 origins/suppliers/demand top5/6/5, edges top10/9; Fig4 top32, marker cutoff2%; Fig5 four highest-value minerals with complete years",counts; percent,Display only,Figure captions and Source Data,Do not affect full indicator calculations; not empirical model parameters,Earlier-specification checks are not current validation unless explicitly linked to SD6–SD9.,Main figures
P14.1,Suez rectangle,"lon [32,33]; lat [29,31]",degrees,Author-defined spatial bounds,DS13,"Closed segment–rectangle intersection; periodic longitude, not vertex-only incidence.",Earlier-specification checks are not current validation unless explicitly linked to SD6–SD9.,Static C*
P14.2,Panama rectangle,"lon [-80.5,-79]; lat [8,10]",degrees,Author-defined spatial bounds,DS13,"Closed segment–rectangle intersection; periodic longitude, not vertex-only incidence.",Earlier-specification checks are not current validation unless explicitly linked to SD6–SD9.,Static C*
P14.3,Malacca rectangle,"lon [98,104]; lat [1,6]",degrees,Author-defined spatial bounds,DS13,"Closed segment–rectangle intersection; periodic longitude, not vertex-only incidence.",Earlier-specification checks are not current validation unless explicitly linked to SD6–SD9.,Static C*
P14.4,GoodHope rectangle,"lon [17,21]; lat [-36,-33]",degrees,Author-defined spatial bounds,DS13,"Closed segment–rectangle intersection; periodic longitude, not vertex-only incidence.",Earlier-specification checks are not current validation unless explicitly linked to SD6–SD9.,Static C*
P14.5,Gibraltar rectangle,"lon [-6.5,-5]; lat [35.7,36.3]",degrees,Author-defined spatial bounds,DS13,"Closed segment–rectangle intersection; periodic longitude, not vertex-only incidence.",Earlier-specification checks are not current validation unless explicitly linked to SD6–SD9.,Static C*
P14.6,BabAlMandeb rectangle,"lon [43,44]; lat [12,13.5]",degrees,Author-defined spatial bounds,DS13,"Closed segment–rectangle intersection; periodic longitude, not vertex-only incidence.",Earlier-specification checks are not current validation unless explicitly linked to SD6–SD9.,Static C*
P14.7,Hormuz rectangle,"lon [56,57]; lat [26,27]",degrees,Author-defined spatial bounds,DS13,"Closed segment–rectangle intersection; periodic longitude, not vertex-only incidence.",Earlier-specification checks are not current validation unless explicitly linked to SD6–SD9.,Static C*
P14.8,Dover rectangle,"lon [1.0,1.6]; lat [50.7,51.2]",degrees,Author-defined spatial bounds,DS13,"Closed segment–rectangle intersection; periodic longitude, not vertex-only incidence.",Earlier-specification checks are not current validation unless explicitly linked to SD6–SD9.,Static C*
P28,No-propagation control,Disable between-stage state update; retain initialization and stage-weight blend,structural switch,Author-defined diagnostic,Supplementary Result 6; SD11/historical.py,Isolates propagation conditional on common attribution assumptions; not origin validation,Recomputed all historical years and fixed recent event sets,Figures 2 and 3 interpretation
P29,Single-passage avoidance,Separate Panama/Suez/Malacca restrictions with northwest restriction retained,route scenario,Author-defined stress test,DS13; Supplementary Result 7; SD11/routes.py,Fixed anchors and land assignments; accepted geometry must avoid selected rectangle,Three scenarios with explicit unresolved-path outer bounds,Figure 4 interpretation
P30,Unresolved alternative-path incidence,Lower zero and upper one at every chokepoint; endpoint cross-bounds,share,Author-defined bounding rule,Supplementary Result 7; SD11/routes.py,Conservative outer bounds need not be jointly feasible and are not confidence intervals,61 Panama and 634 Malacca pairs unresolved; none for Suez,Alternative-route risk-transfer bounds
P31,Objective preference multipliers,Origin 0/0.25/0.5/1/2/4; route 0.25/0.5/1/2/4; other coefficients fixed,multiplier,Author-defined preference grid,Supplementary Result 8; SD11/allocation.py,Discrete design checks rather than estimated optimal weights or complete Pareto frontier,Four major minerals in 2024; 219 units in 9 groups,Figure 5 interpretation and Supplementary Figure 1
P32,Route-floor comparison,epsilon_C 0.01/0.025/0.05; classification tau stays 0.025,share,Author-defined numerical sensitivity,Supplementary Result 8; SD11/allocation.py,Separates objective normalisation from outcome classification,Material joint-reduction shares unchanged in selected 2024 cohort,Allocation sensitivity
P33,Export-headroom comparison,0/0.10/0.25 above historical peak under matched direct-only and integrated objectives,fraction,Author-defined capacity proxy scenario,DS04; Supplementary Result 8; SD11/allocation.py,Historical envelope not measured engineering capacity,Strict numerical acceptance retained; exporter-envelope audits saved,Allocation sensitivity
